Format per line: w1_cmd, w2_cmd, w3_cmd, w4_cmd (RPM)

0.00, 0.00, 0.00, 0.00
17.92, -19.19, -18.41, 18.70
17.52, -19.57, -18.01, 19.07
17.09, -19.96, -17.63, 19.42
16.67, -20.32, -17.21, 19.78
16.25, -20.66, -16.79, 20.13
15.83, -21.00, -16.34, 20.48
15.39, -21.33, -15.91, 20.81
14.96, -21.64, -15.45, 21.15
14.50, -21.96, -15.00, 21.46
14.05, -22.26, -14.54, 21.77
13.59, -22.55, -14.07, 22.07
13.12, -22.83, -13.60, 22.35
12.65, -23.10, -13.11, 22.64
12.17, -23.36, -12.64, 22.90
11.70, -23.61, -12.13, 23.17
11.20, -23.85, -11.64, 23.41
10.71, -24.08, -11.14, 23.65
10.22, -24.30, -10.63, 23.88
9.72, -24.50, -10.11, 24.11
9.22, -24.69, -9.60, 24.31
8.71, -24.88, -9.08, 24.51
8.19, -25.06, -8.55, 24.70
7.67, -25.23, -8.03, 24.87
7.15, -25.38, -7.50, 25.03
6.63, -25.52, -6.96, 25.19
6.10, -25.65, -6.42, 25.33
5.57, -25.77, -5.88, 25.46
5.03, -25.88, -5.34, 25.58
4.50, -25.98, -4.80, 25.68
3.96, -26.07, -4.26, 25.77
3.41, -26.15, -3.71, 25.85
2.88, -26.21, -3.16, 25.93
2.33, -26.27, -2.61, 25.99
1.78, -26.31, -2.06, 26.04
1.24, -26.34, -1.51, 26.08
0.69, -26.37, -0.96, 26.10
0.14, -26.38, -0.41, 26.11
-0.41, -26.38, 0.14, 26.11
-0.96, -26.37, 0.69, 26.10
-1.51, -26.35, 1.23, 26.07
-2.06, -26.31, 1.79, 26.04
-2.60, -26.26, 2.34, 26.00
-3.15, -26.21, 2.88, 25.94
-3.70, -26.14, 3.42, 25.87
-4.23, -26.05, 3.98, 25.80
-4.77, -25.96, 4.52, 25.71
-5.31, -25.86, 5.06, 25.60
-5.84, -25.73, 5.61, 25.50
-6.37, -25.60, 6.15, 25.38
-6.91, -25.46, 6.68, 25.24
-7.43, -25.31, 7.22, 25.10
-7.95, -25.15, 7.75, 24.94
-8.47, -24.97, 8.27, 24.78
-8.98, -24.79, 8.80, 24.61
-9.50, -24.60, 9.31, 24.41
-10.01, -24.39, 9.83, 24.21
-10.51, -24.17, 10.34, 24.01
-11.00, -23.94, 10.85, 23.79
-11.50, -23.70, 11.35, 23.56
-11.98, -23.45, 11.85, 23.32
-12.47, -23.19, 12.34, 23.07
-12.94, -22.92, 12.83, 22.81
-13.41, -22.64, 13.31, 22.54
-13.88, -22.36, 13.78, 22.26
-14.34, -22.06, 14.25, 21.97
-14.80, -21.76, 14.71, 21.66
-15.24, -21.43, 15.17, 21.36
-15.68, -21.10, 15.62, 21.04
-16.11, -20.76, 16.07, 20.72
-16.53, -20.41, 16.50, 20.38
-16.96, -20.07, 16.92, 20.03
-17.36, -19.69, 17.35, 19.69
-17.76, -19.32, 17.77, 19.32
-18.16, -18.94, 18.17, 18.95
-18.56, -18.56, 18.56, 18.56
-18.93, -18.15, 18.96, 18.18
-19.30, -17.75, 19.34, 17.79
-19.67, -17.34, 19.71, 17.38
-20.02, -16.91, 20.07, 16.97
-20.36, -16.48, 20.44, 16.56
-20.70, -16.05, 20.78, 16.12
-21.03, -15.61, 21.11, 15.69
-21.36, -15.17, 21.43, 15.24
-21.67, -14.71, 21.75, 14.79
-21.97, -14.25, 22.05, 14.34
-22.26, -13.79, 22.35, 13.88
-22.54, -13.31, 22.64, 13.41
-22.81, -12.83, 22.92, 12.94
-23.07, -12.34, 23.19, 12.46
-23.32, -11.85, 23.45, 11.98
-23.57, -11.36, 23.69, 11.49
-23.80, -10.86, 23.93, 10.99
-24.02, -10.35, 24.16, 10.49
-24.23, -9.84, 24.37, 9.99
-24.44, -9.34, 24.57, 9.47
-24.61, -8.81, 24.78, 8.97
-24.79, -8.29, 24.96, 8.46
-24.96, -7.76, 25.14, 7.94
-25.11, -7.23, 25.30, 7.42
-25.26, -6.70, 25.45, 6.89
-25.39, -6.16, 25.59, 6.36
-25.51, -5.62, 25.72, 5.83
-25.62, -5.08, 25.83, 5.29
-25.72, -4.53, 25.95, 4.76
-25.80, -3.99, 26.04, 4.23
-25.88, -3.44, 26.13, 3.69
-25.95, -2.89, 26.19, 3.14
-26.01, -2.35, 26.25, 2.59
-26.06, -1.80, 26.29, 2.04
-26.09, -1.25, 26.33, 1.50
-26.11, -0.70, 26.36, 0.95
-26.12, -0.15, 26.37, 0.40
-26.11, 0.41, 26.38, -0.14
-26.10, 0.96, 26.37, -0.69
-26.07, 1.51, 26.35, -1.23
-26.03, 2.06, 26.32, -1.78
-25.99, 2.61, 26.27, -2.33
-25.93, 3.16, 26.22, -2.87
-25.86, 3.70, 26.15, -3.42
-25.78, 4.25, 26.07, -3.96
-25.69, 4.79, 25.98, -4.50
-25.59, 5.33, 25.87, -5.04
-25.47, 5.87, 25.76, -5.58
-25.33, 6.42, 25.64, -6.11
-25.19, 6.95, 25.51, -6.63
-25.04, 7.49, 25.37, -7.16
-24.88, 8.02, 25.21, -7.68
-24.70, 8.54, 25.05, -8.20
-24.53, 9.06, 24.86, -8.72
-24.34, 9.57, 24.67, -9.24
-24.13, 10.09, 24.47, -9.75
-23.91, 10.60, 24.26, -10.25
-23.69, 11.10, 24.04, -10.75
-23.45, 11.60, 23.81, -11.25
-23.21, 12.09, 23.56, -11.74
-22.95, 12.58, 23.31, -12.22
-22.69, 13.06, 23.04, -12.71
-22.42, 13.53, 22.76, -13.19
-22.14, 13.99, 22.47, -13.67
-21.84, 14.47, 22.18, -14.12
-21.54, 14.92, 21.88, -14.58
-21.22, 15.38, 21.57, -15.03
-20.89, 15.83, 21.25, -15.47
-20.56, 16.26, 20.92, -15.91
-20.22, 16.69, 20.57, -16.34
-19.88, 17.11, 20.22, -16.77
-19.52, 17.53, 19.86, -17.19
-19.15, 17.93, 19.49, -17.60
-18.78, 18.34, 19.11, -18.00
-18.39, 18.73, 18.73, -18.39
-17.99, 19.12, 18.34, -18.77
-17.59, 19.50, 17.94, -19.14
-17.18, 19.86, 17.53, -19.51
-16.76, 20.23, 17.12, -19.87
-16.34, 20.57, 16.69, -20.22
-15.92, 20.91, 16.26, -20.57
-15.48, 21.24, 15.82, -20.90
-15.03, 21.57, 15.38, -21.22
-14.58, 21.88, 14.93, -21.53
-14.12, 22.18, 14.47, -21.84
-13.66, 22.48, 14.01, -22.13
-13.19, 22.77, 13.54, -22.42
-12.71, 23.04, 13.06, -22.69
-12.23, 23.30, 12.57, -22.96
-11.75, 23.55, 12.08, -23.22
-11.26, 23.79, 11.59, -23.47
-10.76, 24.03, 11.09, -23.70
-10.26, 24.25, 10.59, -23.92
-9.76, 24.46, 10.08, -24.14
-9.25, 24.66, 9.56, -24.35
-8.74, 24.85, 9.04, -24.54
-8.22, 25.03, 8.52, -24.72
-7.70, 25.19, 8.00, -24.90
-7.18, 25.34, 7.46, -25.07
-6.66, 25.48, 6.92, -25.22
-6.13, 25.62, 6.39, -25.36
-5.59, 25.75, 5.86, -25.48
-5.05, 25.86, 5.32, -25.60
-4.51, 25.97, 4.78, -25.70
-3.97, 26.06, 4.24, -25.79
-3.42, 26.14, 3.70, -25.86
-2.88, 26.21, 3.16, -25.93
-2.33, 26.27, 2.61, -25.99
-1.79, 26.31, 2.06, -26.04
-1.24, 26.35, 1.51, -26.07
-0.69, 26.37, 0.96, -26.10
-0.13, 26.39, 0.42, -26.10
0.42, 26.39, -0.13, -26.10
0.97, 26.38, -0.68, -26.09
1.52, 26.36, -1.23, -26.06
2.07, 26.32, -1.78, -26.03
2.61, 26.27, -2.33, -25.99
3.16, 26.22, -2.87, -25.93
3.70, 26.14, -3.42, -25.86
4.24, 26.06, -3.97, -25.79
4.78, 25.96, -4.52, -25.70
5.31, 25.86, -5.06, -25.60
